LogID,Username,Password,FullName,Email,Phone,AccountBalance,KYCStatus,CreatedAt,AccountNumber,IFSC,AccountID,Timestamp,TransactionType,Description,SessionID,TransactionAmount,SessionDuration,LoginHour,FailedLoginCount,NewDeviceLogin,PasswordChanged,Channel,PagesVisited,ClickRate,RapidTransactions,BeneficiaryAdded,LargeTransaction,DeviceTrustScore,CyberRiskScore,RiskLabel,BeneficiaryName
LOG-1edb0701,sally55,ns8Rc!*y&k7e,Tamara Thornton,patrick91@example.org,001-525-668-0355x3141,52133.68,Rejected,2025-09-16 16:32:53,50058520541,FLUX0GVCHCZ,AC1278,2025-04-09 05:57:18,Debit,Reflect bed produce,SES-fbca6fa4,1385.09,395,5,1,0,0,Mobile,13,11,0,1,0,0.92,20,0,Mrs. Lisa Blackburn
LOG-80740dc8,christian59,!57Qwhf02t6P,Sharon Odom,elizabethfranklin@example.com,001-468-247-2534x49528,30581.56,Verified,2025-07-31 03:48:51,99281035008,FLUX0VZNJZD,AC1048,2026-01-18 04:45:34,Credit,Soldier test,SES-dcca4407,6486.63,16,2,5,1,0,Web,13,4,1,1,1,0.55,37,1,Daniel Johnson
LOG-4431034f,grayjessica,^g49Dn@n+L#1,Jeffrey Hansen,reyesangela@example.org,(362)435-5401,60988.66,Pending,2024-10-17 06:04:52,88266634038,FLUX0NHYDBC,AC1716,2026-02-07 09:52:11,Login,Strategy figure throughout probably,SES-989f2fd4,4240.26,56,2,4,1,0,Mobile,14,8,0,1,0,0.58,60,1,Gilbert Oconnor
LOG-2e627bb9,fgarcia,H7+v4Ur*TX5A,Emily Hunt,lauren72@example.com,(700)892-1831x524,58014.34,Verified,2023-07-06 13:15:10,63926724183,FLUX0YZBNSN,AC1111,2025-08-21 02:05:56,Debit,Since way stand,SES-41c6283a,1821.72,473,2,1,0,0,Mobile,13,5,0,1,0,0.86,9,0,Brad Wright
LOG-2cce5aac,youngdarryl,ht0V(eTk*M5$,Kaylee Fitzgerald,brownlauren@example.net,001-341-875-6441x360,73964.92,Pending,2023-12-08 16:48:09,19540146898,FLUX0ZRKUJA,AC1420,2025-07-31 12:37:30,Debit,Drug politics ability,SES-e562833b,9249.69,34,22,3,0,0,Mobile,14,6,0,1,1,0.45,65,1,Anthony Bell
LOG-d682da70,garciaamy,#3e^HElabwfM,Felicia Bryant,alexander06@example.net,347.776.6502x46831,55519.36,Verified,2025-09-03 01:14:12,38494239401,FLUX0GIPYQZ,AC1133,2025-11-26 22:31:39,Transfer,Stage machine,SES-2f64ffe8,78875.1,19,3,14,1,1,Web,8,6,1,1,1,0.15,76,1,Jenna Oliver
LOG-cc3cbf4f,sabrinaharris,i_281HJFtqs_,Bradley Griffin,michaelrobinson@example.org,(399)528-4293,21554.65,Verified,2023-06-13 21:34:24,39658840688,FLUX0DUEDOR,AC1540,2026-01-03 10:06:39,Login,Approach course fact,SES-21387d9d,40.81,272,10,1,0,0,Mobile,5,4,0,0,0,0.82,19,0,None
LOG-3974e294,jenniferdavis,8WTGFawo#LRK,Amber Turner,james18@example.org,304-698-9943x7202,76675.77,Verified,2024-04-09 13:36:20,49053981256,FLUX0KBZQRG,AC1505,2026-01-18 12:22:18,Transfer,Light similar,SES-ce564e55,31181.81,12,1,12,1,1,Web,11,4,1,1,1,0.2,94,1,Tamara Lane
LOG-101e99f7,bsantiago,+wNpFO6&_4wZ,Edward Castillo,norristimothy@example.org,249-378-1045x9273,6265.34,Verified,2023-05-23 19:35:07,89842291416,FLUX0UPPJIZ,AC1651,2025-11-29 00:42:40,Login,Identify everything,SES-2fbcb084,582.85,546,0,1,0,0,Mobile,5,6,0,0,0,0.89,13,0,None
LOG-321baa85,tarajohnson,#7M9voZa7SZR,Jackson Pham,beckyroberts@example.com,+1-923-232-3474x99096,18822.41,Pending,2024-07-06 04:39:25,25074727945,FLUX0WJJAAU,AC1423,2025-03-23 11:16:14,Login,Would put back,SES-262af9ec,2843.41,48,0,4,0,0,Mobile,5,14,0,1,0,0.44,47,1,Anthony Flores
LOG-9543e251,brookegray,%bW_YM_xxXR4,Paul Boyer,ihenderson@example.org,807-636-4226,13952.38,Verified,2025-08-07 11:57:25,46933867336,FLUX0LJVDEZ,AC1341,2025-10-09 14:01:10,Transfer,Vote view stand street,SES-41ccb4d1,64847.25,5,2,14,1,1,Web,13,15,1,1,1,0.25,79,1,Cassandra Johnson
LOG-53f071a1,velezbrandon,k5IB7BVbEN^2,Anthony Singleton,cbraun@example.net,588-227-5162x1960,91883.33,Verified,2025-05-28 08:36:33,42980663503,FLUX0YDNWYG,AC1451,2026-02-17 16:54:43,Debit,Traditional bit available trip least,SES-48fe2a42,1809.62,623,16,0,0,0,Mobile,12,7,0,0,0,0.97,25,0,None
LOG-76774525,paul57,e)0esGmu*$lM,John Edwards,meghan54@example.org,(449)493-5367,44156.94,Rejected,2023-04-03 06:30:26,38754908336,FLUX0QWJFJS,AC1358,2025-10-06 21:48:31,Transfer,Coach product series knowledge,SES-2975a800,6684.85,50,23,3,0,0,Mobile,5,10,1,1,1,0.63,38,1,Ashley Perez
LOG-6bfa6a77,pkhan,+q6Mw9@Jo&9l,Elijah Taylor,blakereed@example.com,+1-647-209-4727,85817.26,Verified,2024-03-24 04:26:02,01576239969,FLUX0DKKUPL,AC1565,2025-10-01 21:09:58,Transfer,Director health stock,SES-201781cc,5119.88,21,23,5,1,0,Mobile,4,4,0,1,1,0.64,55,1,Shane Taylor
LOG-693a00b7,manntammy,(iQPc%yvti9k,Melanie Brown,brian71@example.net,001-748-539-8114,12316.1,Verified,2023-03-23 20:09:26,70932806500,FLUX0CAZFHF,AC1411,2026-01-15 17:26:04,Credit,Keep blood writer,SES-b1b2e21a,3893.43,21,0,4,0,0,Mobile,12,4,1,1,0,0.55,53,1,Bonnie Gonzales
LOG-0dec0578,joshua56,HC1OHfIz5e+%,Richard Flynn,hollypacheco@example.net,383.568.2019x39138,47711.9,Rejected,2023-03-23 01:49:47,79752276237,FLUX0URECZP,AC1584,2026-01-18 07:29:44,Transfer,Build develop project yeah,SES-df3bf946,92974.02,17,0,9,1,1,Web,15,14,1,1,1,0.21,89,1,Amanda Smith
LOG-994db1b0,susan76,W1Sf$GCM^sxJ,Samantha Wright,charles90@example.com,439-428-0539,77437.91,Pending,2025-05-08 18:12:27,24206903710,FLUX0DVPVYG,AC1070,2025-08-06 23:14:50,Credit,Present age cut,SES-089c7af5,4664.99,50,0,2,0,0,Mobile,15,10,1,1,0,0.52,49,1,Ashley Rodriguez
LOG-bed8ba8c,jhoward,A4ILLjhg$h3j,Jerry Mccullough,derrickpeterson@example.com,996-260-4196,63973.55,Verified,2025-05-07 11:42:25,18283470984,FLUX0UONMWH,AC1619,2025-11-13 18:44:04,Transfer,Arrive office should they imagine,SES-ab7f1002,4174.33,43,2,5,0,0,Mobile,6,6,0,0,0,0.44,41,1,None
LOG-11e8e474,rhopkins,L$#u66Tq+Nr2,Robert Spencer,julian31@example.org,+1-325-608-3300,4126.27,Rejected,2025-01-30 13:51:45,44208188681,FLUX0FGKOZC,AC1395,2025-03-24 21:34:51,Login,Image middle,SES-bb87589c,7035.78,36,22,3,1,0,Mobile,5,15,1,0,1,0.5,44,1,None
LOG-d6493ca4,donnalewis,Z*QaBVy9Vj1q,Amber Melton,ledwards@example.org,7195002694,83616.72,Rejected,2024-01-23 06:26:01,15335097872,FLUX0OPLYND,AC1589,2025-07-16 23:43:23,Transfer,Industry process adult him,SES-77fe7270,3993.92,53,1,2,1,0,Mobile,15,4,0,0,0,0.53,37,1,None
LOG-068a95ca,davidcrosby,kpKq8WyGNF6_,Jennifer Harper MD,corteznicole@example.net,630-730-7390,59510.02,Verified,2023-06-17 13:45:40,87344283363,FLUX0QZNGGR,AC1490,2025-10-18 23:16:00,Login,Industry free agent,SES-45bf17c1,6314.57,53,0,5,0,0,Web,9,3,1,0,1,0.44,48,1,None
LOG-b91a7e93,elizabethhogan,72H_6V&mdU%v,Shawn Clark,fhall@example.net,593.990.1531,58959.97,Rejected,2025-08-24 22:22:35,89592396687,FLUX0TCRMAW,AC1025,2025-07-11 17:12:08,Debit,Thank foreign age spend seek,SES-a219bb0a,1369.49,884,17,0,0,0,Web,7,14,0,0,0,0.8,14,0,None
LOG-71edad7b,sking,$uaWWD0E3hs4,Jessica Allen,griffinnicole@example.com,001-962-214-5569x68975,52729.1,Verified,2024-12-09 11:32:42,36385707781,FLUX0XJFJZG,AC1050,2025-12-02 17:25:39,Transfer,Have month different green take,SES-6f82a57a,7379.97,53,1,5,0,0,Web,14,11,0,1,1,0.68,42,1,Danny Mclean
LOG-cebc79c4,douglasmeyers,+Fh6NSj!89%N,George Nguyen,jillianpeters@example.net,292-877-6077x365,46062.8,Pending,2023-10-26 10:46:32,89276903154,FLUX0OMWIGA,AC1144,2025-07-10 18:25:34,Credit,Begin player,SES-6ae4ffd2,16.47,548,18,0,0,0,Mobile,11,13,0,0,0,0.95,16,0,None
LOG-bf19c36a,kingterri,(onYC5la02Tt,Mr. Brian Parsons,michael34@example.com,879.692.2353,30764.95,Verified,2024-01-25 22:13:03,54626880266,FLUX0WDZQMZ,AC1297,2025-03-31 15:13:38,Transfer,Main job mind,SES-64a2c41f,63309.88,12,3,14,1,0,Web,6,6,1,1,1,0.22,83,1,Nathan Schroeder
LOG-39c505cc,davisbrett,EyHBVkm@^wM5,Christina Sanchez,gordonlisa@example.org,515-651-9537x17084,85444.23,Rejected,2024-12-05 03:16:38,52019717664,FLUX0WWHOKM,AC1517,2025-03-27 08:34:13,Transfer,Skill assume history law,SES-34596394,4249.74,36,22,2,0,0,Mobile,7,13,0,0,0,0.57,49,1,None
LOG-36c3d08c,edavid,2RnakIHe)PEP,Michael Williams,steven91@example.com,600.672.5447,14601.25,Verified,2023-04-20 11:42:34,56997493991,FLUX0IDRZSC,AC1308,2025-03-02 15:03:28,Transfer,Hear magazine American,SES-f6890aa2,299.32,757,15,1,0,0,Mobile,9,15,0,1,0,0.93,18,0,Kayla Thompson
LOG-97ead573,christopher66,_tc5lZm^8j+T,Samuel Pollard,keithfrank@example.org,721.697.7106x88277,73533.55,Pending,2023-07-03 00:19:52,18043614905,FLUX0IHWAWI,AC1682,2025-09-01 22:03:16,Transfer,Increase whose data,SES-f7929dd2,66050.5,18,1,5,1,0,Web,7,7,1,1,1,0.19,80,1,John Pittman
LOG-899b7574,dorseyerica,_6ukWdwZ%nYj,Jacob Avery,hhale@example.org,570.587.2772,16040.31,Verified,2023-12-22 13:35:07,13795871174,FLUX0YPAVJM,AC1092,2025-09-22 11:36:58,Transfer,So enough shake former,SES-d8dc5d09,68166.97,12,0,8,1,0,Web,6,9,1,1,1,0.17,98,1,Linda Zimmerman
LOG-81c7d5a0,joseph81,X0Y90QnwQi%N,Drew Carlson,lanenorman@example.net,207-499-4068,29757.38,Rejected,2025-04-09 10:40:08,11876708412,FLUX0YISHWT,AC1334,2025-08-24 23:06:08,Transfer,Consider day sense,SES-b53519bf,24555.37,18,2,6,1,1,Web,6,4,1,1,1,0.06,96,1,Jesus Hamilton
LOG-9fc4eb75,curtisbullock,RJ+$!3Pu_EOr,David Mckay,trevinostacy@example.net,(407)539-4780x4169,14458.49,Verified,2024-12-06 16:11:53,43198063765,FLUX0KSLGRU,AC1255,2025-11-08 04:31:55,Credit,Within father serve,SES-34ed1916,3498.23,33,1,3,0,0,Mobile,11,15,1,0,0,0.48,55,1,None
LOG-aa27dda2,hallnatalie,cKux$6kqC&Up,Christie Walker,qblackburn@example.com,352-950-8603,430.91,Verified,2025-10-20 16:38:05,13797253151,FLUX0BGMSSO,AC1568,2025-03-18 10:37:26,Debit,Church husband because seat,SES-f118142d,5208.67,58,23,5,0,0,Mobile,14,8,1,1,1,0.4,53,1,Melinda Reid
LOG-95894218,georgegray,@plLIv)e(0VM,Richard Wells,devin38@example.net,297-323-7681x5108,58715.05,Verified,2025-10-17 11:33:58,19901349387,FLUX0NOMIPT,AC1157,2025-07-12 18:50:34,Credit,Wrong language think,SES-6f032e72,1478.44,688,18,1,0,0,Mobile,9,5,0,1,0,0.94,16,0,Jared Alexander
LOG-16c5b412,acevedojacqueline,g+us6eYb(70G,Nicole Ray,brian71@example.org,405-868-7975x479,59655.61,Verified,2024-07-18 02:30:47,89591112500,FLUX0TYCVEC,AC1162,2025-05-11 10:26:04,Transfer,Middle child clear,SES-f94ba963,27190.58,12,3,14,1,1,Web,5,7,1,1,1,0.17,81,1,Christina Peterson
LOG-a8a63d0f,marshallsharon,fdwK*RQW*8Ts,Barbara Robertson,mitchell79@example.net,+1-488-994-2861,89806.04,Verified,2023-07-01 03:13:08,52694151505,FLUX0ZMNUPX,AC1690,2025-03-11 17:17:18,Transfer,Rock drug less sell,SES-d2a12282,53205.14,6,2,11,1,1,Web,13,5,1,1,1,0.16,86,1,Chad Chandler
LOG-1c3bb3f0,rhicks,8gwuEYvs#!S8,Billy Randall,sheppardstephen@example.org,001-285-978-0755x87699,18889.14,Pending,2025-08-21 06:17:28,46052659857,FLUX0ALOMUU,AC1175,2025-05-12 07:25:14,Transfer,Magazine western discuss picture player,SES-d9409c29,7788.04,49,23,4,0,0,Mobile,5,10,0,1,1,0.46,44,1,Susan Poole
LOG-82042a93,qmarshall,0eN_1jM$uhcW,Kaitlin Smith,hojoshua@example.com,001-672-472-7506,44388.65,Verified,2025-12-21 05:27:25,94192215123,FLUX0QROCEL,AC1330,2025-12-24 01:35:38,Credit,Experience would,SES-3c902c89,3488.18,27,23,4,0,0,Mobile,7,10,0,1,0,0.59,51,1,Micheal Ramsey
LOG-a02c54f6,fcooper,j_6k#0e%THYk,Charlotte King,jhoffman@example.org,415.537.5999x1641,12976.84,Rejected,2023-04-01 17:29:55,12850029269,FLUX0JJHUVO,AC1435,2025-03-29 11:58:09,Transfer,A subject watch,SES-ed30104f,80230.27,9,2,11,1,0,Web,12,9,1,1,1,0.28,94,1,John Gilbert
LOG-5ad351e7,angelamoore,^%WfXJm8x(95,Robert Caldwell,oclark@example.org,864-533-8216x7497,61066.33,Verified,2023-12-25 10:38:45,37034026714,FLUX0PJVMNG,AC1689,2025-04-18 23:35:09,Debit,Show all attorney,SES-e6459a3a,9608.3,44,1,3,0,0,Web,7,11,0,1,1,0.7,63,1,Amanda Cardenas
LOG-fbef7538,rodriguezmichelle,q$+bQKKf0F86,Mrs. Carol Schmidt DDS,loriford@example.net,966-499-6133,58467.55,Verified,2023-05-26 00:42:00,27192824930,FLUX0LYAQNR,AC1113,2026-01-09 10:04:05,Credit,Enter employee,SES-0e0c402d,8178.37,40,0,4,1,0,Web,12,7,1,0,1,0.62,43,1,None
LOG-a293b790,cynthia51,V8)_a3yuZH3P,Katelyn Spence,russell25@example.com,770.593.0287x65843,13862.95,Verified,2025-05-15 03:47:33,24962717026,FLUX0YVFZVV,AC1127,2025-12-19 02:13:23,Debit,Decision present before game,SES-8db74209,872.0,309,2,0,0,0,Mobile,6,5,0,0,0,0.87,23,0,None
LOG-c2083216,thomasfoster,M0D!QDw)#REA,Aimee Dean,taylordavid@example.org,(436)826-0101x3615,28901.68,Pending,2026-02-04 21:23:56,17214579634,FLUX0KZHDIA,AC1552,2025-06-05 09:44:08,Debit,Discussion establish father research,SES-55fc2a82,83.81,238,9,0,0,0,Web,10,3,0,0,0,0.9,6,0,None
LOG-977e8646,alexandra38,euK6Rs_qInP@,Tracy Brooks,aturner@example.org,(681)345-4324x3972,13020.57,Pending,2024-09-16 02:00:24,22396580074,FLUX0JLCCIS,AC1247,2025-06-24 11:58:19,Debit,Of daughter,SES-36f6f9d7,1432.83,684,11,0,0,0,Mobile,15,4,0,0,0,0.91,0,0,None
LOG-3eaf3b8e,afoster,3Od!_$EaZ)V1,Richard Young,ibryant@example.org,(820)430-9106,75758.23,Verified,2024-09-21 03:18:48,07898118731,FLUX0SVQIQL,AC1171,2025-11-24 19:13:21,Transfer,Especially opportunity action machine boy,SES-86bd4bae,13700.77,18,0,15,1,1,Web,8,14,1,1,1,0.25,87,1,Jessica Craig
LOG-2cbb02d2,michaellong,2+bVaxqN&v9V,Teresa Cooper,marie53@example.org,(307)262-6125x6716,67957.55,Rejected,2025-01-08 10:06:31,87750308161,FLUX0LCNAEP,AC1215,2026-02-09 20:12:30,Debit,Experience learn of sit certainly,SES-2b99708e,1912.22,201,20,0,0,0,Web,5,6,0,1,0,0.92,9,0,Scott Dennis
LOG-5ab06f50,stephanie32,OebUe%xq%d8B,Diana Flowers,jacqueline59@example.org,599.233.7960,734.42,Verified,2025-11-17 06:40:16,62044676874,FLUX0KJNXIT,AC1498,2025-09-15 03:10:37,Debit,Fund guess case,SES-00ba6a2c,945.09,735,3,1,0,0,Web,5,9,0,0,0,0.87,2,0,None
LOG-255f56da,rburgess,+LS!dpe!qJ9h,Sydney Navarro,rmartin@example.net,(386)705-9183x389,22964.69,Verified,2024-06-28 16:34:05,86886046677,FLUX0GVNRJS,AC1181,2025-04-08 16:13:24,Login,Whether thing seek individual,SES-1d7e285a,6211.63,58,1,4,0,0,Mobile,8,15,1,1,1,0.63,59,1,Chad Long
LOG-7cae2004,mariaspencer,p7eZwbWmE$bQ,Michele Rodriguez,james37@example.com,343.769.5687,17957.74,Verified,2023-12-02 07:04:26,43435552025,FLUX0CHIJUZ,AC1721,2025-03-26 23:16:14,Transfer,Set could,SES-55b8bc72,2327.6,21,2,4,1,0,Web,11,13,0,1,0,0.44,46,1,Timothy Lee
LOG-e80349ac,brittany13,x4fzJchI$V0&,Caitlyn Dunlap,inorman@example.com,209-556-5304x2797,88868.82,Pending,2023-12-20 21:40:35,00196479661,FLUX0UYPXHZ,AC1758,2025-07-29 02:40:20,Debit,Through hundred speech policy without,SES-1ec52a92,5226.28,19,2,5,0,0,Mobile,14,6,0,0,1,0.44,39,1,None
LOG-f7567fbc,willie95,3EPDUBte(+pu,Brian Quinn,jessestewart@example.org,594.373.1822x10033,41697.75,Verified,2024-08-27 20:12:30,94000380808,FLUX0WFNMZP,AC1654,2025-09-26 08:09:11,Transfer,Republican cold space,SES-39db38b4,80006.25,15,2,9,1,1,Web,8,7,1,1,1,0.06,87,1,John Odom
LOG-095c16a1,mcintoshdavid,!00IOaW#nIX1,Pamela Lopez,harrisamanda@example.org,283.661.5317x377,63125.2,Verified,2026-01-27 02:15:42,81428973000,FLUX0UEUGQO,AC1605,2026-02-08 18:47:11,Transfer,Admit discuss attention student chance,SES-d5f09e41,80659.0,14,2,9,1,0,Web,12,10,1,1,1,0.16,89,1,Kim Mcgrath
LOG-5f9be043,jasonhoward,V!%NUom094e3,Jose Lee,fnorman@example.com,(485)627-4702x009,56030.71,Verified,2024-07-13 03:16:36,09989028578,FLUX0RBMVJK,AC1253,2025-03-03 06:23:24,Login,News air rule behavior,SES-3ef414cd,1410.26,731,6,0,0,0,Web,10,13,0,1,0,0.98,5,0,James Haynes
LOG-e0365a48,bowmanrichard,ft6CFoad3GG),Amanda Roth,alisonmatthews@example.org,(890)709-8936,38289.22,Verified,2023-04-23 04:38:30,86638413905,FLUX0NGOHIG,AC1165,2025-03-11 05:54:20,Debit,Style on newspaper,SES-b0c6b3b2,692.37,415,5,0,0,0,Mobile,12,8,0,0,0,0.89,19,0,None
LOG-b891d86c,melanie64,@xTBvZPx6t^X,Lisa Maldonado,kathryn70@example.org,+1-408-547-8505x981,59666.8,Verified,2025-09-29 11:11:50,32247112278,FLUX0TSETBZ,AC1455,2025-09-04 23:20:49,Debit,Behind know,SES-73d06c23,6046.31,34,2,2,1,0,Mobile,9,9,1,0,1,0.64,44,1,None
LOG-e1beadae,douglascastillo,pxR%nPz&O6dr,Carrie Hudson,mccormickkatherine@example.com,882-370-3476,54893.49,Verified,2025-01-24 06:33:26,74023144985,FLUX0FTWCOZ,AC1509,2025-08-21 23:30:19,Debit,Although find,SES-10bbe9b4,1193.32,821,23,0,0,0,Mobile,4,4,0,0,0,0.86,11,0,None
LOG-5ed3fa3f,paul87,)puLhiVR!7fk,Holly Cole,jamesjoshua@example.com,001-395-409-3270x24542,3182.95,Verified,2025-12-16 04:13:18,85693398355,FLUX0RCOJQY,AC1571,2025-03-03 09:07:17,Transfer,Style keep,SES-2a96dc15,8710.47,53,0,3,1,0,Mobile,10,8,1,1,1,0.53,61,1,April Jackson
LOG-34830d12,jennifer23,R!)rahFjQuQ3,Maria Young,crystal97@example.com,001-782-419-0804x97804,38763.59,Verified,2023-10-03 03:43:19,95702716602,FLUX0IWJQWH,AC1321,2025-04-30 07:36:47,Transfer,Create read commercial poor,SES-3eadbb00,73382.34,11,2,6,1,0,Web,11,15,1,1,1,0.2,96,1,Taylor Torres
LOG-4dbb253c,carriesmith,_)+9kMa6x5h),Donald Lee,tammy87@example.net,+1-571-595-6835,24646.7,Rejected,2024-08-31 20:13:56,70276143297,FLUX0TLYBMT,AC1163,2025-04-02 17:59:06,Login,Along laugh answer with top,SES-3dec80ff,889.2,457,17,1,0,0,Web,9,15,0,0,0,0.89,11,0,None
LOG-30b3f222,larrythompson,al#ptlVT+5OJ,Mark Campbell,melodycarter@example.com,260-650-0088x842,5339.25,Pending,2024-07-24 09:26:34,43695618322,FLUX0EYTSOR,AC1407,2025-07-06 06:52:18,Transfer,Test hundred animal,SES-23aa002c,46575.44,7,0,9,1,1,Web,6,15,1,1,1,0.27,94,1,Cindy Wood
LOG-75d700c0,chad09,l_ZBX!TxQ&8f,Jasmine Herrera,virginiatrevino@example.net,001-251-771-0880x117,69124.17,Rejected,2025-09-24 23:24:27,42282613072,FLUX0HIKGWP,AC1306,2025-06-14 09:07:10,Debit,Nearly film minute,SES-f4b572ac,2732.88,54,0,3,1,0,Mobile,12,14,1,1,0,0.62,49,1,Tamara Duncan
LOG-78d7bc04,kennethrodgers,&eTYf8ia9kK^,Marvin Williams,harristara@example.org,001-564-300-5013,48944.5,Verified,2025-03-26 11:36:25,38993066183,FLUX0BDKIVO,AC1381,2025-04-29 20:03:57,Transfer,Community statement evening,SES-65be42fa,2070.55,48,1,5,1,0,Web,4,6,1,1,0,0.64,47,1,Karen Chandler
LOG-2f3f5b56,jthompson,t2fMI4mo+gYg,Michael Russell,stevenwashington@example.net,(779)778-9670x64135,80567.64,Verified,2024-06-11 15:41:19,26204437688,FLUX0BRPTXP,AC1599,2025-09-03 08:03:00,Transfer,State benefit only couple wonder,SES-d069fc9e,148.31,357,8,0,0,0,Web,10,3,0,0,0,0.88,18,0,None
LOG-4cc3bb06,paul87,)puLhiVR!7fk,Holly Cole,jamesjoshua@example.com,001-395-409-3270x24542,3182.95,Verified,2025-12-16 04:13:18,85693398355,FLUX0RCOJQY,AC1571,2025-03-09 14:47:14,Login,Executive certain long official,SES-a26e4280,1183.67,881,14,0,0,0,Mobile,12,14,0,0,0,0.99,20,0,None
LOG-8aaca2db,juarezanthony,7zGFlu_f+tIN,Susan Anderson,andrewjohnson@example.com,3068508789,24072.66,Verified,2023-04-29 04:56:01,95640609829,FLUX0BUERXB,AC1007,2026-01-13 16:18:45,Credit,Seek even fact task effort,SES-dad93fee,4275.37,27,22,5,1,0,Web,14,3,1,0,0,0.66,65,1,None
LOG-2d232310,norma67,_D8Lci_W%*nM,Robin Taylor,gbeck@example.org,+1-527-355-4146x851,23480.39,Verified,2024-02-28 01:45:18,28570252606,FLUX0MSWMAI,AC1797,2026-01-22 15:14:01,Credit,Or ground,SES-99b3455a,1512.04,810,15,0,0,0,Mobile,12,8,0,0,0,0.99,0,0,None
